ID,Priority,Source,Requester Name,Subject,Description,Status,Agent Group Name,Agent Name,Created Date,Resolved Date,Requester Location,Department Name,Service Category,Sub Category,SLA Met
FLD190532,medium,email,Employee 5449,"SAP attendance period locked, cannot submit timesheet","SAP attendance period locked, cannot submit timesheet. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 3105 Emp Code 3105 Mobile 98xxxxxx56 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,SAP Basis,Agent 30,17-05-2025 08:31:15 AM,22-05-2025 12:29:24 AM,Region South,Field Sales,Application & Software,SAP,Yes
FLD190281,medium,portal,Employee 3657,Leave balance not reflecting in FieldHub,"Leave balance not reflecting in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 1148 Emp Code 1148 Mobile 98xxxxxx10 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",On Hold,Field Support L1,Agent 07,14-06-2025 03:28:48 AM,,Plant B,Regulatory Affairs,Application & Software,FieldHub - Reporting & Account,Yes
FLD190118,medium,portal,Employee 4041,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 6676 Emp Code 6676 Mobile 98xxxxxx29 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 26,09-03-2025 03:21:31 PM,11-03-2025 12:42:59 PM,Region South,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190589,low,portal,Employee 9509,VPN keeps disconnecting at plant network,"VPN keeps disconnecting at plant network. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 4863 Emp Code 4863 Mobile 98xxxxxx52 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Network Team,Agent 03,17-06-2025 03:58:19 PM,19-06-2025 05:05:10 AM,Region West,Field Sales,Network & Connectivity,VPN,Yes
FLD190635,medium,email,Employee 5659,New Ticket,"New Ticket. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 7200 Emp Code 7200 Mobile 98xxxxxx87 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 36,30-04-2025 03:30:54 PM,08-05-2025 01:02:05 AM,Region West,Field Sales,,,Yes
FLD190402,medium,chat,Employee 2054,Laptop running very slow after update,"Laptop running very slow after update. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 4434 Emp Code 4434 Mobile 98xxxxxx80 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Open,IT Service Desk,Agent 14,06-04-2025 12:48:36 AM,,Region South,Field Sales,Hardware & Devices,Laptop,Yes
FLD190223,medium,email,Employee 6589,"Forgot to submit my call, please backdate","Forgot to submit my call, please backdate. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 1082 Emp Code 1082 Mobile 98xxxxxx34 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Open,Field Support L1,Agent 35,28-05-2025 01:36:04 AM,,Region West,Field Sales,Application & Software,SalesTrack CRM,Yes
FLD190667,urgent,email,Employee 3823,sales assist not working,"sales assist not working. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 9437 Emp Code 9437 Mobile 98xxxxxx36 HQ Region South. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 39,05-04-2025 11:07:18 AM,08-04-2025 07:53:38 AM,Region North,Quality,,,Yes
FLD190124,medium,portal,Employee 7614,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 5451 Emp Code 5451 Mobile 98xxxxxx74 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",On Hold,Field Support L1,Agent 14,06-05-2025 11:35:58 AM,,Region West,Marketing,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190162,low,email,Employee 4877,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2852 Emp Code 2852 Mobile 98xxxxxx49 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 11,05-06-2025 06:13:47 PM,06-06-2025 05:03:51 AM,Plant A,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190099,high,email,Employee 7029,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 9253 Emp Code 9253 Mobile 98xxxxxx70 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 40,10-04-2025 09:09:55 AM,11-04-2025 01:01:36 PM,Region West,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
