Ticket Id,Subject,Description,Category,Sub Category,Status,Priority,Created Time,Resolved Time,Group,Requester Name,Department,Location
HR-40159,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,19/09/2025 06:25,25/09/2025 16:39,Payroll Team,Employee 2506,HR,Plant A
HR-40242,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,On Hold,P2 - High,20/09/2025 21:15,,Payroll Team,Employee 6965,Regulatory Affairs,Plant B
HR-40227,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,On Hold,P3 - Medium,07/07/2025 19:59,,Payroll Team,Employee 5116,Quality,Plant B
HR-40003,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P2 - High,17/08/2025 14:33,20/08/2025 10:38,HR Helpdesk,Employee 1884,R&D,Plant B
HR-40332,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Closed,P2 - High,12/07/2025 06:33,15/07/2025 14:03,HR Helpdesk,Employee 3940,Manufacturing,Region South
HR-40196,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,24/09/2025 16:23,29/09/2025 23:56,Payroll Team,Employee 7178,Manufacturing,Region North
HR-40329,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Closed,P3 - Medium,01/09/2025 00:09,05/09/2025 21:38,Payroll Team,Employee 4064,Field Sales,Region South
HR-40138,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P4 - Low,30/07/2025 04:02,02/08/2025 11:28,HR Helpdesk,Employee 1904,Finance,Plant B
HR-40330,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Resolved,P3 - Medium,22/07/2025 02:12,25/07/2025 05:06,Payroll Team,Employee 1049,HR,HQ
HR-40120,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,On Hold,P4 - Low,09/08/2025 12:42,,HR Helpdesk,Employee 6910,Manufacturing,Plant B
