RequestID,Subject,Description,Category,Department,Requester,Technician,Request Mode,Created Time,Resolved Time,Request Status,Priority
70254,VPN setup for remote work,VPN setup for remote work. Raised via self-service portal.,Network,Manufacturing,Employee 8135,Tech 04,E-Mail,2025-08-19 11:59:18,,On Hold,Low
70225,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,R&D,Employee 1793,Tech 02,Web Form,2025-08-01 13:23:28,2025-08-04 23:43:13,Closed,High
70268,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,IT,Employee 4266,Tech 10,Phone Call,2025-06-01 10:28:27,2025-06-01 16:38:13,Resolved,Medium
70106,Software install request,Software install request. Raised via self-service portal.,Software,R&D,Employee 6485,Tech 02,E-Mail,2025-06-12 20:52:26,2025-06-14 10:30:56,Closed,Medium
70244,VPN setup for remote work,VPN setup for remote work. Raised via self-service portal.,Network,Manufacturing,Employee 2683,Tech 01,Phone Call,2025-06-30 07:39:35,2025-07-01 05:30:26,Closed,Low
70360,Approval stuck for laptop request,Approval stuck for laptop request. Raised via self-service portal.,Workflow,Manufacturing,Employee 2832,Tech 09,Web Form,2025-08-04 07:09:00,2025-08-12 23:47:58,Closed,Low
70046,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,R&D,Employee 7063,Tech 07,Phone Call,2025-08-17 18:57:30,2025-08-18 21:50:57,Closed,Low
70278,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,Regulatory Affairs,Employee 9928,Tech 03,Phone Call,2025-08-20 18:35:53,2025-08-21 08:49:09,Closed,Medium
70140,License required for design tool,License required for design tool. Raised via self-service portal.,Software,Quality,Employee 7681,Tech 08,E-Mail,2025-06-08 02:16:32,2025-06-10 02:03:34,Closed,Medium
70165,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Manufacturing,Employee 4870,Tech 02,E-Mail,2025-07-29 17:48:40,,On Hold,High
70255,VPN setup for remote work,VPN setup for remote work. Raised via self-service portal.,Network,R&D,Employee 7842,Tech 09,E-Mail,2025-06-13 20:33:27,2025-06-14 11:49:08,Closed,Medium
70199,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,Finance,Employee 4404,Tech 08,Phone Call,2025-08-15 17:07:41,2025-08-16 09:28:51,Resolved,Medium
70209,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,Supply Chain,Employee 1470,Tech 04,Phone Call,2025-06-21 20:35:30,,Open,High
70272,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,HR,Employee 5257,Tech 02,Web Form,2025-06-25 07:34:08,2025-06-26 03:30:25,Closed,Low
70298,Distribution list update,Distribution list update. Raised via self-service portal.,Email & Collaboration,Quality,Employee 8837,Tech 02,Phone Call,2025-06-18 18:29:28,,On Hold,Low
70208,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,Marketing,Employee 5502,Tech 04,E-Mail,2025-08-02 19:41:33,2025-08-04 01:12:16,Resolved,Low
70289,Distribution list update,Distribution list update. Raised via self-service portal.,Email & Collaboration,Finance,Employee 1788,Tech 12,Web Form,2025-08-08 12:50:17,2025-08-09 21:36:25,Closed,High
70074,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,Manufacturing,Employee 5495,Tech 03,Phone Call,2025-07-02 14:59:34,,Open,Low
70234,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Regulatory Affairs,Employee 9814,Tech 09,Phone Call,2025-08-02 12:44:36,2025-08-07 10:38:53,Closed,High
70156,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,R&D,Employee 1302,Tech 12,E-Mail,2025-07-22 21:38:30,,Open,Low
70078,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,HR,Employee 5866,Tech 05,Phone Call,2025-08-24 07:15:43,2025-08-25 05:58:29,Closed,Low
70138,License required for design tool,License required for design tool. Raised via self-service portal.,Software,IT,Employee 2809,Tech 03,Phone Call,2025-07-13 12:17:59,2025-07-14 03:04:33,Closed,High
70088,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,IT,Employee 9623,Tech 09,Phone Call,2025-06-25 23:43:23,2025-06-27 05:00:58,Closed,Medium
70320,How do I set up MFA on new phone,How do I set up MFA on new phone. Raised via self-service portal.,How-to,R&D,Employee 6080,Tech 09,Phone Call,2025-07-12 16:35:34,2025-07-12 21:30:55,Closed,Low
70284,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,Supply Chain,Employee 5961,Tech 04,Phone Call,2025-07-26 07:07:06,2025-07-26 23:01:58,Closed,High
70146,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Quality,Employee 9796,Tech 12,Phone Call,2025-06-26 02:52:32,2025-06-27 03:06:03,Closed,High
70257,VPN setup for remote work,VPN setup for remote work. Raised via self-service portal.,Network,IT,Employee 9092,Tech 10,Web Form,2025-07-14 07:57:56,,Open,Low
70238,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Manufacturing,Employee 7887,Tech 09,E-Mail,2025-07-11 21:06:33,2025-07-13 06:20:32,Closed,Low
70161,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Finance,Employee 7303,Tech 09,E-Mail,2025-08-20 20:45:19,,Open,Low
70160,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Supply Chain,Employee 4396,Tech 10,E-Mail,2025-07-30 01:57:01,2025-07-31 04:37:28,Closed,Low
70186,Laptop replacement request,Laptop replacement request. Raised via self-service portal.,Hardware,Regulatory Affairs,Employee 3745,Tech 06,E-Mail,2025-07-09 17:14:48,2025-07-12 12:40:34,Closed,High
70017,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Manufacturing,Employee 3200,Tech 04,Web Form,2025-07-10 11:18:25,2025-07-10 12:11:38,Closed,Low
70056,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,R&D,Employee 5243,Tech 11,E-Mail,2025-07-17 08:24:21,2025-07-17 23:03:40,Resolved,Low
70018,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Regulatory Affairs,Employee 8031,Tech 01,E-Mail,2025-07-23 10:52:53,2025-07-23 13:53:17,Closed,High
70070,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,Field Sales,Employee 6981,Tech 11,Web Form,2025-07-10 19:30:35,,Open,Low
70296,Distribution list update,Distribution list update. Raised via self-service portal.,Email & Collaboration,Quality,Employee 2069,Tech 04,Web Form,2025-08-23 23:02:36,2025-08-25 20:51:03,Closed,High
70102,Software install request,Software install request. Raised via self-service portal.,Software,HR,Employee 8873,Tech 09,Phone Call,2025-07-08 10:23:21,2025-07-09 09:24:48,Closed,Low
70090,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,Field Sales,Employee 9937,Tech 07,Web Form,2025-06-20 04:04:15,2025-06-20 23:27:00,Closed,High
70032,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Regulatory Affairs,Employee 1667,Tech 12,E-Mail,2025-06-02 20:32:15,2025-06-02 23:01:18,Closed,High
70235,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Regulatory Affairs,Employee 5160,Tech 05,E-Mail,2025-07-02 05:14:49,,Open,High
70135,License required for design tool,License required for design tool. Raised via self-service portal.,Software,HR,Employee 4791,Tech 02,Phone Call,2025-06-20 00:16:18,2025-06-22 04:27:36,Closed,Medium
70357,Approval stuck for laptop request,Approval stuck for laptop request. Raised via self-service portal.,Workflow,Regulatory Affairs,Employee 2237,Tech 01,Phone Call,2025-08-02 11:13:37,,On Hold,High
70353,Approval stuck for laptop request,Approval stuck for laptop request. Raised via self-service portal.,Workflow,Field Sales,Employee 3478,Tech 11,Phone Call,2025-06-15 14:56:14,2025-06-19 10:55:17,Resolved,High
70288,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,HR,Employee 7200,Tech 06,E-Mail,2025-06-04 06:34:37,2025-06-06 06:03:51,Resolved,Low
70001,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Manufacturing,Employee 1798,Tech 07,E-Mail,2025-07-18 10:40:44,2025-07-18 14:39:01,Closed,Low
70075,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,Supply Chain,Employee 8102,Tech 06,E-Mail,2025-08-29 03:00:23,2025-08-30 18:38:24,Closed,Medium
70038,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Regulatory Affairs,Employee 3917,Tech 07,Web Form,2025-06-22 23:24:49,2025-06-23 01:51:15,Closed,Low
