Issue Key,Project,Issue Type,Summary,Description,Status,Priority,Assignee,Reporter,Created,Resolved,Resolution
DVO-1031,DevOps,Task,Deployment to staging stuck at approval,Deployment to staging stuck at approval. See runbook for context.,Done,Low,Agent 04,Employee 7855,2025-01-27T08:44:05,2025-01-31T21:25:57,Done
DVO-1105,DevOps,Infrastructure,Terraform plan drift on network module,Terraform plan drift on network module. See runbook for context.,Done,High,Agent 08,Employee 5113,2025-03-30T04:14:03,2025-03-31T23:38:52,Done
DVO-1048,DevOps,Access,Access request: production logs read-only,Access request: production logs read-only. See runbook for context.,Done,High,Agent 04,Employee 5270,2025-04-04T04:31:01,2025-04-06T04:21:11,Done
DVO-1020,DevOps,Task,Deployment to staging stuck at approval,Deployment to staging stuck at approval. See runbook for context.,To Do,Low,Agent 04,Employee 1579,2025-01-24T20:49:36,,
DVO-1057,DevOps,Task,New service onboarding to monitoring,New service onboarding to monitoring. See runbook for context.,Done,Medium,Agent 07,Employee 3565,2025-05-15T21:01:06,2025-05-21T04:29:48,Done
DVO-1067,DevOps,Bug,Kibana dashboard not loading,Kibana dashboard not loading. See runbook for context.,Done,Highest,Agent 06,Employee 5554,2025-06-15T17:06:11,2025-06-16T18:51:05,Done
DVO-1041,DevOps,Access,Access request: production logs read-only,Access request: production logs read-only. See runbook for context.,Done,Highest,Agent 07,Employee 4987,2025-07-01T19:54:51,2025-07-04T04:41:43,Done
DVO-1026,DevOps,Task,Deployment to staging stuck at approval,Deployment to staging stuck at approval. See runbook for context.,Done,Medium,Agent 01,Employee 1769,2025-04-14T19:29:34,2025-04-17T13:45:13,Done
DVO-1044,DevOps,Access,Access request: production logs read-only,Access request: production logs read-only. See runbook for context.,Done,High,Agent 03,Employee 5218,2025-01-25T17:43:03,2025-01-26T23:29:34,Done
DVO-1098,DevOps,Access,VPN access for new contractor,VPN access for new contractor. See runbook for context.,Done,Medium,Agent 06,Employee 8886,2025-06-09T01:10:06,2025-06-10T00:39:53,Done
DVO-1021,DevOps,Task,Deployment to staging stuck at approval,Deployment to staging stuck at approval. See runbook for context.,Blocked,Highest,Agent 04,Employee 4808,2025-02-28T20:16:18,,
DVO-1006,DevOps,Bug,CI pipeline failing on main branch,CI pipeline failing on main branch. See runbook for context.,To Do,High,Agent 06,Employee 4516,2025-04-15T15:00:31,,
DVO-1039,DevOps,Access,Access request: production logs read-only,Access request: production logs read-only. See runbook for context.,Done,Low,Agent 07,Employee 5022,2025-05-05T10:20:40,2025-05-06T02:37:53,Done
DVO-1042,DevOps,Access,Access request: production logs read-only,Access request: production logs read-only. See runbook for context.,Done,High,Agent 08,Employee 1902,2025-05-07T08:32:46,2025-05-10T07:14:25,Done
DVO-1081,DevOps,Infrastructure,Increase disk on build agents,Increase disk on build agents. See runbook for context.,Done,Medium,Agent 07,Employee 4728,2025-03-29T11:40:40,2025-04-01T05:26:47,Done
DVO-1113,DevOps,Question,How to request a new namespace,How to request a new namespace. See runbook for context.,Done,High,Agent 06,Employee 1081,2025-05-17T06:46:42,2025-05-18T03:42:59,Done
DVO-1073,DevOps,Infrastructure,Increase disk on build agents,Increase disk on build agents. See runbook for context.,Done,Highest,Agent 04,Employee 2194,2025-03-05T11:51:56,2025-03-08T12:46:12,Done
DVO-1017,DevOps,Bug,CI pipeline failing on main branch,CI pipeline failing on main branch. See runbook for context.,To Do,Low,Agent 07,Employee 1155,2025-03-21T10:07:12,,
DVO-1117,DevOps,Question,How to request a new namespace,How to request a new namespace. See runbook for context.,Done,High,Agent 02,Employee 5116,2025-04-16T12:35:31,2025-04-17T01:12:43,Done
DVO-1009,DevOps,Bug,CI pipeline failing on main branch,CI pipeline failing on main branch. See runbook for context.,To Do,High,Agent 05,Employee 9136,2025-06-06T05:30:27,,
DVO-1106,DevOps,Infrastructure,Terraform plan drift on network module,Terraform plan drift on network module. See runbook for context.,Done,Highest,Agent 03,Employee 3186,2025-03-17T18:59:31,2025-03-19T00:38:01,Done
DVO-1034,DevOps,Access,Access request: production logs read-only,Access request: production logs read-only. See runbook for context.,Done,Medium,Agent 05,Employee 6164,2025-01-20T16:41:21,2025-01-23T06:23:36,Done
DVO-1121,DevOps,Access,Secrets manager permission denied,Secrets manager permission denied. See runbook for context.,In Progress,Low,Agent 01,Employee 3370,2025-03-05T23:21:02,,
DVO-1094,DevOps,Access,VPN access for new contractor,VPN access for new contractor. See runbook for context.,To Do,Low,Agent 02,Employee 9149,2025-03-17T01:51:04,,
DVO-1052,DevOps,Task,New service onboarding to monitoring,New service onboarding to monitoring. See runbook for context.,Done,Medium,Agent 07,Employee 8452,2025-03-14T16:01:32,2025-03-17T22:08:04,Done
DVO-1065,DevOps,Bug,Kibana dashboard not loading,Kibana dashboard not loading. See runbook for context.,Done,High,Agent 08,Employee 8029,2025-05-07T05:19:07,2025-05-07T10:55:35,Done
DVO-1027,DevOps,Task,Deployment to staging stuck at approval,Deployment to staging stuck at approval. See runbook for context.,Blocked,Low,Agent 01,Employee 9271,2025-07-11T18:04:40,,
DVO-1099,DevOps,Access,VPN access for new contractor,VPN access for new contractor. See runbook for context.,Done,High,Agent 02,Employee 1117,2025-05-16T10:10:04,2025-05-17T16:26:11,Done
DVO-1116,DevOps,Question,How to request a new namespace,How to request a new namespace. See runbook for context.,Blocked,Highest,Agent 05,Employee 3477,2025-01-31T06:21:58,,
DVO-1124,DevOps,Access,Secrets manager permission denied,Secrets manager permission denied. See runbook for context.,Done,Low,Agent 04,Employee 3481,2025-03-21T11:40:03,2025-03-23T08:36:40,Done
DVO-1011,DevOps,Bug,CI pipeline failing on main branch,CI pipeline failing on main branch. See runbook for context.,Done,High,Agent 04,Employee 8482,2025-02-25T14:56:57,2025-02-27T02:34:12,Done
DVO-1107,DevOps,Infrastructure,Terraform plan drift on network module,Terraform plan drift on network module. See runbook for context.,Done,High,Agent 03,Employee 5623,2025-05-28T10:38:05,2025-05-30T20:30:33,Done
DVO-1111,DevOps,Infrastructure,Terraform plan drift on network module,Terraform plan drift on network module. See runbook for context.,Done,Low,Agent 07,Employee 3807,2025-03-30T02:01:39,2025-04-02T07:32:35,Done
DVO-1064,DevOps,Bug,Kibana dashboard not loading,Kibana dashboard not loading. See runbook for context.,Done,High,Agent 01,Employee 7849,2025-06-29T20:24:20,2025-06-30T19:50:27,Done
DVO-1096,DevOps,Access,VPN access for new contractor,VPN access for new contractor. See runbook for context.,To Do,Medium,Agent 05,Employee 7222,2025-04-23T15:14:33,,
DVO-1062,DevOps,Bug,Kibana dashboard not loading,Kibana dashboard not loading. See runbook for context.,Done,Medium,Agent 03,Employee 5617,2025-04-18T19:29:21,2025-04-20T00:38:31,Done
DVO-1076,DevOps,Infrastructure,Increase disk on build agents,Increase disk on build agents. See runbook for context.,Blocked,Low,Agent 07,Employee 3404,2025-06-15T20:51:55,,
DVO-1019,DevOps,Task,Deployment to staging stuck at approval,Deployment to staging stuck at approval. See runbook for context.,In Progress,Medium,Agent 02,Employee 2551,2025-04-22T11:42:05,,
DVO-1032,DevOps,Task,Deployment to staging stuck at approval,Deployment to staging stuck at approval. See runbook for context.,Done,Medium,Agent 02,Employee 4940,2025-05-16T11:11:04,2025-05-17T00:15:24,Done
DVO-1103,DevOps,Infrastructure,Terraform plan drift on network module,Terraform plan drift on network module. See runbook for context.,Done,Low,Agent 07,Employee 9960,2025-01-25T15:45:05,2025-01-29T01:06:06,Done
DVO-1080,DevOps,Infrastructure,Increase disk on build agents,Increase disk on build agents. See runbook for context.,In Progress,Highest,Agent 05,Employee 7781,2025-07-12T06:22:12,,
DVO-1045,DevOps,Access,Access request: production logs read-only,Access request: production logs read-only. See runbook for context.,Blocked,Low,Agent 02,Employee 4673,2025-02-16T21:50:00,,
DVO-1053,DevOps,Task,New service onboarding to monitoring,New service onboarding to monitoring. See runbook for context.,Done,Highest,Agent 03,Employee 9985,2025-03-24T10:16:17,2025-04-01T22:13:38,Done
