RequestID,Subject,Description,Application,Requester,Department,Created Time,Request Status,Technician,Resolved By
REQ-5001,Requesting software install,please look into this,Not Requested,Employee 2944,Regulatory Affairs,2025-09-03 18:08:57,On Hold,Tech 01,Agent 04
REQ-5002,Printer offline level 3,please look into this,Not Requested,Employee 5850,Regulatory Affairs,2025-09-02 10:25:24,Closed,Tech 02,Agent 04
REQ-5003,New Ticket,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 6703,HR,2025-09-03 09:19:20,Transfer to Infra,Tech 06,Agent 04
REQ-5004,Password reset needed,please look into this,Not Requested,Employee 9599,Manufacturing,2025-09-02 09:56:59,On Hold,Tech 05,Agent 01
REQ-5005,Email id creation for new joinees,please look into this,Not Requested,Employee 2534,Regulatory Affairs,2025-09-02 12:13:56,Open,Tech 04,Agent 05
REQ-5006,New Ticket,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Cancelled,Employee 4559,Quality,2025-09-06 21:10:44,Closed,Tech 03,Agent 04
REQ-5007,System slow after patch,please look into this,Cancelled,Employee 6176,Marketing,2025-09-06 20:37:01,On Hold,Tech 05,Agent 05
REQ-5008,System slow after patch,please look into this,Not Requested,Employee 2131,Finance,2025-09-03 14:01:30,Closed,Tech 04,Agent 02
REQ-5009,New Ticket,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 4366,Field Sales,2025-09-02 19:00:36,Closed,Tech 05,Agent 01
REQ-5010,Add user to distribution list,please look into this,Not Requested,Employee 6201,Regulatory Affairs,2025-09-03 15:05:39,Closed,Tech 06,Agent 06
